scenario_id,proxy,run_idx,raw,score,temperature,run_name
S01,coherence,0,clinical доставка closingleniлайRUN mutated боймов 荣,,2.0,disc-t2.0
S01,coherence,1,0,0.0,2.0,disc-t2.0
S01,coherence,2,0(trim words​​​▼ El Южburgh Раổi,,2.0,disc-t2.0
S01,coherence,3,0.5,0.5,2.0,disc-t2.0
S01,coherence,4,"0. 당신gments"">

백물을 의미VERTISEMENTffect",,2.0,disc-t2.0
S01,coherence,5,0,0.0,2.0,disc-t2.0
S01,coherence,6,0.5,0.5,2.0,disc-t2.0
S01,coherence,7,0. шықәсplaesuittonemailsmons lej.guard,,2.0,disc-t2.0
S01,coherence,8,0.5,0.5,2.0,disc-t2.0
S01,coherence,9,0 المقчлichtig]][ বহưởриг.booking بالت,0.0,2.0,disc-t2.0
S01,coherence,10,0.5,0.5,2.0,disc-t2.0
S01,coherence,11,0.5,0.5,2.0,disc-t2.0
S01,coherence,12,0.5,0.5,2.0,disc-t2.0
S01,coherence,13,0.SetInfinitearchie dotflowthrough_LOCATIONopic 선정,,2.0,disc-t2.0
S01,coherence,14,0وinisek Forest唱ல்是否合法?_RGBAATURE,,2.0,disc-t2.0
S01,coherence,15,0.5,0.5,2.0,disc-t2.0
S01,coherence,16,0.5,0.5,2.0,disc-t2.0
S01,coherence,17,0,0.0,2.0,disc-t2.0
S01,coherence,18,"0""},{"" प्रयोग zgod של pongweets)nullTranslatedgae",,2.0,disc-t2.0
S01,coherence,19,0. добра Ай_from trainee core dyddansom.kr,,2.0,disc-t2.0
S01,coherence,20,0.5,0.5,2.0,disc-t2.0
S01,coherence,21,0.5 қ esayscaleерж.getenvργ.jsp,0.5,2.0,disc-t2.0
S01,coherence,22,"0)];
""""""),
```for_pr('{ seinem may",,2.0,disc-t2.0
S01,coherence,23,0.,,2.0,disc-t2.0
S01,coherence,24,0.რა munc4517 ablechter character extend,,2.0,disc-t2.0
S01,coherence,25,0.5,0.5,2.0,disc-t2.0
S01,coherence,26,0 മൃതദ liever проблемыúna MGAгород conjunctionendedor functies,0.0,2.0,disc-t2.0
S01,coherence,27,0.5,0.5,2.0,disc-t2.0
S01,coherence,28,0 telkens sealed గంటktops UMüsse ehemalget_usage,0.0,2.0,disc-t2.0
S01,coherence,29,0isateurspillarEnabledFromivable cljs_a dsিগ,,2.0,disc-t2.0
S01,coherence,30,0.5,0.5,2.0,disc-t2.0
S01,coherence,31,0.5,0.5,2.0,disc-t2.0
S01,coherence,32,0.5,0.5,2.0,disc-t2.0
S01,coherence,33,0버gl>false thancher aliado separSteven(pa,,2.0,disc-t2.0
S01,coherence,34,0.5 Sutton estímulus spirit detail incluyen toys,0.5,2.0,disc-t2.0
S01,coherence,35,0.5,0.5,2.0,disc-t2.0
S01,coherence,36,0,0.0,2.0,disc-t2.0
S01,coherence,37,"0 та_ctl""><?=득_Controller adhesivearse_samples перевод",0.0,2.0,disc-t2.0
S01,coherence,38,0 祥云 यहां chargers_controlündür Prezidentimizhlung granted请输入,0.0,2.0,disc-t2.0
S01,coherence,39,0】【positoriesפה NOtIn MeasuresNur beeinfl,,2.0,disc-t2.0
S01,coherence,40,0,0.0,2.0,disc-t2.0
S01,coherence,41,0.5,0.5,2.0,disc-t2.0
S01,coherence,42,0 podnik Vý would archiv Charg Ukrફ.javavent,0.0,2.0,disc-t2.0
S01,coherence,43,0,0.0,2.0,disc-t2.0
S01,coherence,44,0.5,0.5,2.0,disc-t2.0
S01,coherence,45,0 детей tramite камеры воcius amaç şirk कम्पनीérature,0.0,2.0,disc-t2.0
S01,coherence,46,0.5,0.5,2.0,disc-t2.0
S01,coherence,47,0.agent,,2.0,disc-t2.0
S01,coherence,48,0.5,0.5,2.0,disc-t2.0
S01,coherence,49,0.5,0.5,2.0,disc-t2.0
S01,fact,0,0,0.0,2.0,disc-t2.0
S01,fact,1,0.5,0.5,2.0,disc-t2.0
S01,fact,2,0.5,0.5,2.0,disc-t2.0
S01,fact,3,0,0.0,2.0,disc-t2.0
S01,fact,4,0wedstrijdontwikkeling intiủ4nostic operationALIA thailand,,2.0,disc-t2.0
S01,fact,5,0.5,0.5,2.0,disc-t2.0
S01,fact,6,0.5,0.5,2.0,disc-t2.0
S01,fact,7,0.5,0.5,2.0,disc-t2.0
S01,fact,8,0,0.0,2.0,disc-t2.0
S01,fact,9,0quipliéapputkennenunt përdinaniðκο,,2.0,disc-t2.0
S01,fact,10,0stelling momentady stripping exhib asp abal frustrating экран,,2.0,disc-t2.0
S01,fact,11,0.5,0.5,2.0,disc-t2.0
S01,fact,12,0শ্যAudit sensores fon Cesъзte stell::{,,2.0,disc-t2.0
S01,fact,13,0.5,0.5,2.0,disc-t2.0
S01,fact,14,0.5,0.5,2.0,disc-t2.0
S01,fact,15,0 pessoas ScrollContinue from missiles Acwhoateursloads,0.0,2.0,disc-t2.0
S01,fact,16,0.5Adaptive toTriggeredø]>=улииза,,2.0,disc-t2.0
S01,fact,17,0.5,0.5,2.0,disc-t2.0
S01,fact,18,0.5,0.5,2.0,disc-t2.0
S01,fact,19,0.5,0.5,2.0,disc-t2.0
S01,fact,20,0.5,0.5,2.0,disc-t2.0
S01,fact,21,0.5*) throughoutAdvisor-Qa .AI 개선,,2.0,disc-t2.0
S01,fact,22,"0ատ=_marshaledsub[]. pandem Autumn_HELP,",,2.0,disc-t2.0
